,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Fortuna,US,40.6,-124.16,53.01,76,15,4.0,few clouds
114,Bathsheba,BB,13.22,-59.52,80.6,78,20,13.87,few clouds
115,Tuatapere,NZ,-46.13,167.68,62.01,66,95,5.01,overcast clouds
116,Acari,PE,-15.43,-74.62,67.17,63,49,7.2,scattered clouds
117,Port Elizabeth,ZA,-33.92,25.57,53.01,84,1,6.58,clear sky
118,Nan,TH,18.83,100.67,65.48,95,5,0.85,light rain
119,Fallon,US,39.47,-118.78,46.4,36,75,14.99,broken clouds
120,Nanaimo,CA,49.17,-123.94,44.6,81,86,3.36,overcast clouds
121,Alice Springs,AU,-23.7,133.88,86.0,11,16,9.17,few clouds
122,East London,ZA,-33.02,27.91,64.85,68,96,2.19,overcast clouds
123,Shelburne,CA,44.08,-80.2,37.4,100,90,4.7,overcast clouds
124,Mpika,ZM,-11.83,31.45,72.12,49,88,2.08,overcast clouds
125,Broome,US,42.25,-75.83,41.0,86,90,8.05,moderate rain
126,Siquijor,PH,9.21,123.52,80.6,78,75,4.7,broken clouds
127,Cidreira,BR,-30.18,-50.21,76.39,76,100,17.36,light rain
128,Lakes Entrance,AU,-37.88,147.98,73.0,64,60,3.0,broken clouds
129,Vuktyl,RU,63.86,57.31,22.41,97,99,8.39,overcast clouds
130,Ancud,CL,-41.87,-73.82,53.01,76,75,9.17,light intensity shower rain
131,Kununurra,AU,-15.77,128.73,84.2,89,14,4.7,few clouds
132,Verkhoyansk,RU,67.54,133.38,-6.74,89,100,2.89,overcast clouds
133,Paamiut,GL,61.99,-49.67,25.14,81,90,17.09,overcast clouds
134,Klaksvik,FO,62.23,-6.59,35.6,69,79,6.93,broken clouds
135,Monrovia,LR,6.3,-10.8,77.0,94,75,5.82,thunderstorm
136,Mount Gambier,AU,-37.83,140.77,60.8,59,40,14.99,scattered clouds
137,Mahon,ES,39.89,4.27,60.8,82,79,11.41,broken clouds
138,Kijang,KR,35.24,129.21,46.4,52,0,8.05,clear sky
139,Novoorsk,RU,51.38,58.98,15.8,78,90,8.95,light snow
140,Acarau,BR,-2.89,-40.12,80.29,75,87,16.4,overcast clouds
141,Benxi,CN,41.29,123.77,21.2,92,74,4.47,broken clouds
142,Kargasok,RU,59.06,80.86,8.8,96,54,5.21,broken clouds
143,Russell,US,32.35,-85.2,75.2,57,90,10.29,overcast clouds
144,Arlit,NE,18.74,7.39,70.97,25,0,11.56,clear sky
145,Arraial Do Cabo,BR,-22.97,-42.03,71.6,87,75,9.17,mist
146,Ismailia,EG,30.6,32.27,60.91,70,10,12.26,clear sky
147,Lagoa,PT,39.05,-27.98,57.25,66,83,15.05,broken clouds
148,Touros,BR,-5.2,-35.46,78.8,78,20,5.82,few clouds
149,Galle,LK,6.04,80.22,78.89,82,86,7.29,overcast clouds
150,Bongandanga,CD,1.5,21.05,72.64,88,31,0.2,scattered clouds
151,Ranong,TH,9.97,98.63,76.48,83,97,4.97,light rain
152,Dikson,RU,73.51,80.55,9.09,95,100,18.03,overcast clouds
153,Bonwapitse,BW,-23.08,26.7,72.21,67,83,16.42,broken clouds
154,Gull Lake,CA,50.1,-108.48,30.2,92,90,20.8,overcast clouds
155,Saint-Philippe,RE,-21.36,55.77,75.2,83,51,8.05,light rain
156,Katsuura,JP,35.13,140.3,53.6,100,75,5.82,mist
157,Coquimbo,CL,-29.95,-71.34,66.2,59,0,16.11,clear sky
158,Barrow,US,71.29,-156.79,10.4,78,90,35.57,snow
159,Arrifes,PT,37.77,-25.7,57.2,67,75,11.41,light intensity shower rain
160,Cabedelo,BR,-6.98,-34.83,77.0,83,20,5.82,few clouds
161,Shache,CN,38.42,77.24,20.21,88,96,8.43,overcast clouds
162,Los Llanos De Aridane,ES,28.66,-17.92,66.2,55,0,3.36,clear sky
163,Buena Vista,US,43.42,-83.9,42.8,93,90,5.82,light rain
164,Erice,IT,38.04,12.59,61.0,87,0,3.36,clear sky
165,Chistogorskiy,RU,53.98,87.38,4.42,92,12,2.42,few clouds
166,Asfi,MA,32.3,-9.24,55.44,86,100,14.74,heavy intensity rain
167,Cockburn Town,TC,21.46,-71.14,78.91,74,7,23.51,clear sky
168,Port Macquarie,AU,-31.43,152.92,80.01,54,2,1.99,clear sky
169,Egvekinot,RU,66.32,-179.17,17.58,95,65,7.25,broken clouds
170,Shenjiamen,CN,29.96,122.3,58.77,92,100,19.3,overcast clouds
171,Aitape,PG,-3.14,142.35,80.56,76,64,3.15,broken clouds
